უკატეგორიო,NA
"ხელმისაწვდომი, ხარისხიანი ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა",1
"თავდაცვა, საზოგადოებრივი წესრიგი და უსაფრთხოება",2
"რეგიონალური განვითარება, ინფრასტრუქტურა და ტურიზმი",3
"განათლება, მეცნიერება და პროფესიული მომზადება",4
მაკროეკონომიკური სტაბილურობა და საინვესტიციო გარემოს გაუმჯობესება,5
ინსტიტუციური განვითარება და ქვეყნის ინტერესების სამართლებრივი მხარდაჭერა,6
იძულებით გადაადგილებულ პირთა და მიგრანტთა სახელმწიფო მხარდაჭერა და რეინტეგრაციის ხელშეწყობა,7
"კულტურა, რელიგია, ახალგაზრდობის ხელშეწყობა და სპორტი",8
საერთაშორისო ურთიერთობები და ევროატლანტიკურ სივრცეში ინტეგრაცია,9
სოფლის მეურნეობა,10
სასამართლო სისტემა,11
გარემოს დაცვა და ბუნებრივი რესურსების მართვა,12
